TASK 3 - PHASE 6: CONTROL INTERFACE TELEMETRY
Structured output for Rajaryan (Control) + Dhruv (Data)
===============================================================================================

   Time | Active |  Phase |    State | Progress |  FL_hip |  FR_hip |  RL_hip |  RR_hip |   Failures
  2.050 |     FL | STANCE |   STABLE |    0.146 |   14.38 |  -10.00 |  -10.00 |  -10.00 |       none
  2.060 |     FL | STANCE |   STABLE |    0.147 |   14.25 |  -10.00 |  -10.00 |  -10.00 |       none
  2.070 |     FL | STANCE |   STABLE |    0.148 |   14.12 |  -10.00 |  -10.00 |  -10.00 |       none
  2.080 |     FL | STANCE |   STABLE |    0.149 |   14.00 |  -10.00 |  -10.00 |  -10.00 |       none
  2.090 |     FL | STANCE |   STABLE |    0.149 |   13.88 |  -10.00 |  -10.00 |  -10.00 |       none
  2.100 |     FL | STANCE |   STABLE |    0.150 |   13.75 |  -10.00 |  -10.00 |  -10.00 |       none
  2.110 |     FL | STANCE |   STABLE |    0.151 |   13.62 |  -10.00 |  -10.00 |  -10.00 |       none
  2.120 |     FL | STANCE |   STABLE |    0.151 |   13.50 |  -10.00 |  -10.00 |  -10.00 |       none
  2.130 |     FL | STANCE |   STABLE |    0.152 |   13.38 |  -10.00 |  -10.00 |  -10.00 |       none
  2.140 |     FL | STANCE |   STABLE |    0.153 |   13.25 |  -10.00 |  -10.00 |  -10.00 |       none
  2.150 |     FL | STANCE |   STABLE |    0.154 |   13.12 |  -10.00 |  -10.00 |  -10.00 |       none
  2.160 |     FL | STANCE |   STABLE |    0.154 |   13.00 |  -10.00 |  -10.00 |  -10.00 |       none
  2.170 |     FL | STANCE |   STABLE |    0.155 |   12.88 |  -10.00 |  -10.00 |  -10.00 |       none
  2.180 |     FL | STANCE |   STABLE |    0.156 |   12.75 |  -10.00 |  -10.00 |  -10.00 |       none
  2.190 |     FL | STANCE |   STABLE |    0.156 |   12.62 |  -10.00 |  -10.00 |  -10.00 |       none
  2.200 |     FL | STANCE |   STABLE |    0.157 |   12.50 |  -10.00 |  -10.00 |  -10.00 |       none
  2.210 |     FL | STANCE |   STABLE |    0.158 |   12.38 |  -10.00 |  -10.00 |  -10.00 |       none
  2.220 |     FL | STANCE |   STABLE |    0.159 |   12.25 |  -10.00 |  -10.00 |  -10.00 |       none
